14579	  coffee
14723	  ship
  grain
  corn

14724	  acq

14725	  interest
  money-fx

14726	  acq

14727	  silver

14728	
14729	  acq

14730	  gnp

14731	
14732	  silver

14733	  iron-steel

14734	  money-supply

14735	  gnp

14736	
14737	
14738	
14739	  crude
  nat-gas
  gas
  fuel
  cpi

14740	
14741	  gold

14742	  acq

14743	  f-cattle
  livestock

14744	  lumber

14745	  grain
  wheat

14746	  acq

14747	  money-supply

14748	  ipi
  trade

14749	  acq

14750	  gnp
  interest

14751	  gas

14752	  acq

14753	
14754	  livestock
  f-cattle
  pork-belly
  l-cattle
  carcass

14755	  silver

14756	  acq

14757	  grain
  wheat
  rice
  cotton

14758	  trade

14759	
14760	  acq

14761	  grain
  corn

14762	  acq

14763	  gnp
  cpi
  jobs

14764	  trade

14765	  silver

14766	  ipi

14767	
14768	  gnp
  crude
  trade
  bop

14769	  interest

14770	
14771	  money-supply
  cpi

14772	  trade

14773	
14774	  money-fx

14775	
14776	  trade
  grain
  wheat

14777	  crude

14778	  money-fx
  dlr
  interest

14779	  trade

14780	  trade
  money-fx
  dlr

14781	
14782	  money-fx
  interest

14783	  trade
  money-fx
  dlr

14784	  gnp

14785	
14786	  money-fx
  dlr

14787	  money-fx
  dlr
  yen

14788	  money-fx
  dlr

14789	  money-fx
  dlr

14790	  acq

14791	  money-fx
  dlr

14792	
14793	
14794	  trade

14795	
14796	
14797	
14798	
14799	  sugar

14800	  interest
  gnp

14801	  jobs

14802	  gold

14803	  nat-gas

14804	
14805	
14806	  alum
  iron-steel
  pet-chem

14807	  ipi
  inventories

14808	  money-fx
  dlr

14809	  money-fx
  dlr

14810	
14811	  money-supply

14812	
14813	
14814	  crude

14815	  bop
  trade

14816	  zinc

14817	  cpi

14818	  money-fx
  dlr
  interest

14819	  sugar

14820	
14821	  bop
  trade

14822	  money-fx
  interest

14823	  trade

14824	  money-supply

14825	  interest

14826	  money-fx

14827	
14828	  acq

14829	  trade

14830	
14831	
14832	  crude

14833	
14834	  trade

14835	  grain
  rice

14836	  money-fx

14837	
14838	  money-supply

14839	
14840	
14841	
14842	  gold

14843	  money-fx
  dlr

14844	  money-fx
  dlr
  interest

14845	  money-fx
  interest

14846	  money-fx
  dlr
  interest

14847	  trade

14848	  money-fx
  dlr

14849	
14850	
14851	  gold

14852	  trade

14853	  sugar

14854	
14855	  trade

14856	
14857	  trade

14858	  grain
  rice

14859	
14860	  trade

14861	  trade
  money-fx
  dlr

14862	  money-fx

14863	  gold

14864	
14865	  alum
  iron-steel
  pet-chem

14866	
14867	  crude

14868	
14869	  crude

14870	  interest

14871	  money-fx
  dlr
  lit

14872	
14873	
14874	  money-fx
  trade

14875	
14876	  crude

14877	
14878	  money-fx
  dlr
  lit

14879	  iron-steel

14880	  ship

14881	  ipi
  inventories

14882	  trade

14883	  trade

14884	  money-fx

14885	  trade
  money-fx

14886	  money-fx
  dlr

14887	
14888	
14889	  tin

14890	  trade
  alum
  zinc
  pet-chem
  iron-steel
  grain
  wheat
  corn
  cotton
  oilseed
  soybean

14891	  money-fx
  dlr

14892	  acq

14893	  iron-steel

14894	  reserves

14895	  acq

14896	  ship

14897	  hog
  livestock

14898	  dlr
  money-fx

14899	
14900	  money-fx
  trade

14901	  grain
  acq

14902	
14903	  dlr
  money-fx
  interest

14904	
14905	
14906	  jobs

14907	  crude

14908	  sugar

14909	
14910	  grain
  corn

14911	  acq

14912	  sugar

14913	  trade

14914	
14915	  oilseed
  soybean
  strategic-metal

14916	  trade

14917	
14918	  acq

14919	  sugar

14920	  sugar

14921	  money-fx

14922	
14923	
14924	  sugar

14925	  acq

14926	
14927	  acq

14928	
14929	  grain
  wheat
  barley

14930	  gnp

14931	  crude
  nat-gas

14932	  crude
  nat-gas

14933	  crude
  nat-gas

14934	  grain
  wheat

14935	  nat-gas

14936	  carcass
  livestock
  orange

14937	  crude

14938	
14939	  nat-gas

14940	
14941	  dlr
  money-fx

14942	  ship

14943	  crude

14944	  grain
  oilseed

14945	  money-fx
  dlr
  stg

14946	
14947	  crude
  nat-gas

14948	  hk
  dlr
  money-fx

14949	
14950	  gnp

14951	
14952	  reserves
  trade

14953	  bop
  trade

14954	
14955	  money-supply
  reserves

14956	  grain
  corn

14957	  income
  ipi

14958	  meal-feed
  tapioca
  grain
  barley

14959	
14960	  reserves
  dlr
  money-fx

14961	  grain
  wheat

14962	  jobs

14963	  gnp
  trade
  cpi

14964	  oilseed
  grain
  veg-oil

14965	  ship
  iron-steel

14966	  acq
  alum

14967	  veg-oil

14968	  hog
  livestock

14969	  lei
  gnp

14970	  tea
  coffee

14971	  grain
  corn

14972	
14973	  money-fx
  sfr
  money-supply

14974	  money-fx
  dmk
  interest

14975	  money-fx
  sfr
  money-supply

14976	  grain
  wheat

14977	  livestock

14978	  wpi

14979	  lei
  gnp

14980	  gnp
  cpi
  bop

14981	  ship

14982	
14983	  crude

14984	  gnp

14985	
14986	  crude

14987	  fuel
  heat
  jet
  gas
  money-fx

14988	  nat-gas

14989	  ship

14990	  ship

14991	
14992	
14993	  crude
  nat-gas

14994	  nat-gas

14995	  ship

14996	
14997	  crude

14998	  dlr
  money-fx

14999	  cotton

15000	  nat-gas

15001	  silver

15002	  carcass
  livestock

15003	
15004	  grain
  wheat

15005	  crude
  gas
  fuel

15006	  dlr
  money-fx

15007	  crude

15008	  crude
  nat-gas

15009	  crude

15010	  cpi

15011	  crude

15012	  cpi

15013	
15014	  ship

15015	
15016	
15017	
15018	  earn

15019	  gas
  fuel

15020	  cpi

15021	  grain
  orange
  sugar

15022	
15023	  interest

15024	  gas

15025	
15026	  interest

15027	  trade

15028	
15029	
15030	  trade

15031	
15032	
15033	  rubber

15034	
15035	  gold

15036	
15037	
15038	
15039	
15040	  ship

15041	  gas

15042	
15043	
15044	
15045	
15046	
15047	
15048	  interest

15049	
15050	  gas

15051	  fuel

15052	
15053	
15054	
15055	  veg-oil
  coconut
  copra-cake
  meal-feed
  palm-oil
  coconut-oil

15056	  crude

15057	  acq

15058	  zinc
  lead
  strategic-metal

15059	  acq

15060	
15061	
15062	  acq

15063	
15064	  lead
  zinc
  strategic-metal

15065	  acq

15066	  acq

15067	  earn

15068	
15069	  acq

15070	  nat-gas
  ship

15071	  acq

15072	  tea

15073	
15074	
15075	
15076	
15077	  cocoa

15078	
15079	  acq

15080	  acq

15081	  grain
  wheat
  corn

15082	
15083	
15084	  acq

15085	  acq

15086	
15087	  copper
  sugar
  grain
  corn

15088	
15089	  trade

15090	
15091	  acq

15092	
15093	
15094	  crude
  nat-gas

15095	
15096	  acq

15097	  crude

15098	
15099	  grain
  wheat

15100	
15101	  money-fx

15102	
15103	
15104	
15105	
15106	
15107	  acq

15108	
15109	
15110	
15111	
15112	  acq

15113	
15114	
15115	
15116	  acq

15117	
15118	  acq

15119	
15120	
15121	  earn

15122	  earn

15123	  earn

15124	
15125	  earn

15126	
15127	
15128	
15129	  acq

15130	
15131	
15132	  earn

15133	
15134	  earn

15135	
15136	  earn

15137	  acq

15138	
15139	
15140	  acq

15141	  pet-chem

15142	
15143	
15144	
15145	  acq

15146	  cocoa

15147	  acq

15148	
15149	
15150	
15151	  acq

15152	  acq

15153	
15154	  acq

15155	  money-fx
  interest

15156	
15157	  acq

15158	  pet-chem
  acq

15159	
15160	
15161	
15162	  crude

15163	  acq
  pet-chem

15164	
15165	
15166	
15167	  acq

15168	
15169	
15170	
15171	  interest

15172	
15173	  acq

15174	  acq

15175	  acq

15176	
15177	
15178	
15179	  acq

15180	
15181	
15182	
15183	
15184	
15185	  earn

15186	
15187	
15188	
15189	
15190	  acq

15191	
15192	
15193	
15194	  earn

15195	  earn

15196	  crude

15197	  earn

15198	  interest
  money-fx
  dfl
  dmk

15199	
15200	  gold

15201	
15202	
15203	  acq

15204	
15205	
15206	
15207	
15208	  earn

15209	
15210	  gold

15211	  jobs

15212	
15213	
15214	
15215	
15216	
15217	
15218	  acq

15219	
15220	
15221	  acq

15222	  acq

15223	
15224	
15225	
15226	
15227	
15228	
15229	  acq

15230	  acq

15231	
15232	  gold
  silver

15233	  earn

15234	
15235	
15236	  nat-gas
  crude

15237	  acq

15238	  earn

15239	  earn

15240	  grain
  wheat

15241	
15242	  coffee
  cocoa

15243	
15244	  acq

15245	
15246	
15247	  crude
  nat-gas

15248	  trade
  lumber

15249	  acq

15250	  earn

15251	  acq

15252	  iron-steel

15253	
15254	
15255	  acq

15256	
15257	
15258	
15259	
15260	  acq

15261	  acq

15262	
15263	  earn

15264	  lumber

15265	  acq

15266	  acq

15267	
15268	
15269	
15270	
15271	
15272	  acq

15273	
15274	
15275	
15276	  alum

15277	
15278	  acq

15279	  acq

15280	  alum

15281	  earn

15282	
15283	
15284	  acq

15285	  cocoa

15286	
15287	
15288	  acq

15289	
15290	  earn

15291	
15292	  gold
  silver
  copper
  alum

15293	
15294	  acq

15295	
15296	
15297	  acq

15298	
15299	
15300	  soybean
  grain
  wheat
  corn

15301	  acq

15302	
15303	
15304	
15305	  acq

15306	  acq

15307	
15308	
15309	  tin

15310	
15311	  cocoa

15312	
15313	
15314	
15315	
15316	  acq

15317	
15318	
15319	
15320	  money-fx

15321	  acq
  pet-chem

15322	
15323	
15324	  acq

15325	
15326	  money-fx

15327	  acq

15328	  ship
  crude

15329	  earn

15330	  acq

15331	  earn

15332	
15333	  grain
  wheat
  oilseed

15334	
15335	  crude

15336	  interest

15337	  veg-oil

15338	  acq

15339	
15340	  acq

15341	  acq

15342	
15343	
15344	  acq

15345	  grain
  barley

15346	
15347	  grain
  barley

15348	  acq

15349	  crude

15350	
15351	  earn

15352	
15353	  acq

15354	  acq

15355	  acq

15356	
15357	
15358	  crude

15359	
15360	  acq

15361	  lead
  zinc
  strategic-metal

15362	  acq

15363	  acq

15364	
15365	  acq

15366	  earn

15367	
15368	
15369	  earn

15370	  acq

15371	
15372	
15373	  earn

15374	
15375	
15376	  acq

15377	
15378	
15379	
15380	  earn

15381	
15382	
15383	  lead
  zinc
  strategic-metal

15384	
15385	
15386	  earn

15387	  acq

15388	  acq

15389	  earn

15390	  acq

15391	  crude

15392	
15393	
15394	  crude

15395	
15396	
15397	
15398	
15399	
15400	  acq

15401	  hog

15402	
15403	  acq

15404	
15405	  acq
  hog

15406	
15407	  iron-steel

15408	
15409	
15410	
15411	
15412	  earn

15413	  acq

15414	
15415	  acq

15416	
15417	  acq

15418	
15419	
15420	
15421	
15422	
15423	
15424	
15425	  acq

15426	  earn

15427	  acq

15428	
15429	
15430	
15431	  acq

15432	
15433	
15434	
15435	  acq

15436	
15437	
15438	  acq

15439	
15440	
15441	  acq

15442	  acq

15443	
15444	  acq

15445	  acq

15446	
15447	
15448	  alum

15449	  money-fx
  dlr
  trade

15450	  acq

15451	  acq

15452	  alum

15453	  crude

15454	  acq

15455	  money-fx

15456	  gas

15457	
15458	  naphtha

15459	  interest

15460	
15461	  interest
  gnp

15462	
15463	
15464	  crude
  acq

15465	  earn

15466	  ship
  crude

15467	
15468	
15469	
15470	  crude

15471	
15472	  rubber

15473	
15474	  gnp

15475	  ipi

15476	
15477	  interest

15478	  earn

15479	  earn

15480	
15481	
15482	
15483	
15484	  gnp

15485	  acq

15486	
15487	
15488	
15489	  acq

15490	
15491	  acq
  crude
  nat-gas

15492	
15493	  money-fx

15494	  bop

15495	
15496	
15497	
15498	
15499	
15500	  earn

15501	  sugar

15502	  trade
  bop

15503	  ship

15504	  trade
  bop

15505	  propane

15506	
15507	  crude

15508	  money-fx

15509	
15510	  reserves

15511	  reserves

15512	
15513	
15514	
15515	
15516	
15517	  interest

15518	
15519	
15520	
15521	  interest

15522	
15523	
15524	
15525	
15526	  trade

15527	
15528	  acq

15529	
15530	  money-fx

15531	
15532	
15533	  grain
  wheat
  ship

15534	  acq

15535	  acq

15536	  acq

15537	
15538	  acq

15539	
15540	  grain
  wheat
  rice

15541	  crude

15542	  earn

15543	  earn

15544	  reserves
  interest

15545	  earn

15546	  acq

15547	
15548	  cpi
  gnp

15549	
15550	  earn

15551	  acq

15552	
15553	  earn

15554	
15555	
15556	  acq

15557	  ship

15558	  money-fx

15559	  acq

15560	
15561	
15562	  cocoa
  acq

15563	
15564	  acq

15565	
15566	  earn

15567	
15568	
15569	
15570	
15571	  acq

15572	
15573	
15574	
15575	
15576	
15577	
15578	
