MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
BRAZIL SETS UP SPECIAL DEBT COMMISSION|Brazil has set up a special debt commission, headed by Finance Minister Dilson Funaro, to be responsible for renegotiating Brazil's 109 billion dollar foreign debt, officials said. The principal negotiator on the commission, created by President Jose Sarney, will be former foreign minister Ramiro Saraiva Guerreiro. Officials said Guerreiro would be joined on the commission by eight senior officials, including a representative of the National Security Council. The creation of the commission is intended to underscore the Brazilian government's contention that the debt issue is essentially political and that a political solution must be found to the problem. On February 20 Brazil suspended interest payments on its 68 billion dlr foreign bank debt to try to force the issue. Creditor banks, however, have signalled that they are equally determined to resist Brazil's demands for debt relief. Yesterday Funaro travelled to the U.S. for fresh debt negotiations with creditors deeply angered by Brasilia's suspension of interest payments. Reuter
BRAZILIAN DOMESTIC SOYBEAN AND PRODUCT|Brokers reported the following domestic prices for Brazilian soybean and products (byr/slr unless stated) - TODAY PREV Soybean (cruzados per 60-kilo bag) P.Grossa 196.00 B unch Interior R.Grande Do Sul 175.00 T 185.00 T TODAY PREV Soybean Pellets (cruzados per kilo) Parana 3.70 S unch Paranagua 3.65 B 3.50 B Soybean Oil (cruzados per kilo, inc 12 pct sales tax, immediate deliv, 30 days pymt) Sao Paulo 8.65/8.80 unch REUTER
POEHL WARNS AGAINST FURTHER DOLLAR FALL|Bundesbank President Karl Otto Poehl said a weaker dollar would be risky and a further appreciation of the mark would damage prospects for sustained West German economic growth. In a speech to the Institute of Contempory German Affairs here, Poehl said "It would be an extremely risky policy to aim for a further substantial decline in the value of the dollar to correct the trade deficit." He said the United States could face a vicious circle of depreciation, inflation and more depreciation if it took that route. Poehl noted West Germany had already taken steps to meet U.S. Demands for greater stimulation of its domestic economy, accelerating tax cuts, cutting interest rates and tolerating above-target money supply growth. He said he would have been happy to have brought forward five billion marks of tax cuts now planned for January 1988 to the beginning of this year, but he said the government faced political constraints getting such measures through the upper house of the West German parliament. But there were also limits to the impact West Germany could accept on exports from a rising mark, he said. Poehl said West Germany relied on exports for about one-third of its gross national product, so a substantial erosion of export markets could not be offset by increasing demand at home. "A further appreciation of the mark could even be an obstacle to further growth," he said. Poehl said the Bundesbank had tolerated rapid money supply growth last year because the country enjoyed low inflation and because external factors, including low oil prices and favourable terms of trade, had given some extra leeway. But Poehl said West Germany now faced a difficult dilemma over monetary policy. The underlying rate of inflation was now two pct, not the reported negative inflation rates last year, and West Germany was affected more than before by exchange rate developments. "For the time being, we will have to focus our policy more on the external side, and we can live with a more expansionary money supply. But we must be very careful," he said. He said he shared some of the U.S. Concern about Japan's trade surpluses, which affected European countries as well as the United States. Poehl welcomed the so-called Louvre accord of monetary officials of major industrialized countries, saying the importance of the February 22 agreement to stabilize exchange rates had been underestimated. All partners had agreed that the dollar was at about the right level, and that further changes would damage growth, he said. "This was a remarkable change in attitude, especially on the part of our American colleagues," he said. But he said there was still a danger that the correction of the dollar's value could overshoot. REUTER
ELECTRO RENT CORP <ELRC> 3RD QTR FEB 28 NET|Shr 20 cts vs 32 cts Net 1,358,000 vs 2,476,000 Revs 27.1 mln vs 26.2 mln Avg shrs 6,852,000 vs 7,764,000 Nine mths Shr 68 cts vs 1.05 dlrs Net 4,957,000 vs 8,129,000 Revs 82.6 mln vs 78.8 mln Avg shrs 7,316,000 vs 7,754,000 Reuter
LIVE HOG FUTURES TRIM SHARP GAINS AT CLOSE|Live Hog futures ran up for sharp gains after midsession before slipping late to close 0.82 cent higher to 0.02 lower. Only February posted a loss while April and June paced the gain and April ended at 50.65 cents. Futures ran up early as demand prompted by strong live markets, light hog runs and the discount of futures to cash sparked technical buying. April ran up as much as 1.42 cents above its previous level before profit-taking developed, traders said. Gains in cash hogs reflected reduced farmer marketings as they took to the fields for the start of spring activities. The strength in live also offset a sharp break in cash ham prices. The break in hams was expected as Easter buying came to an end, they added. Reuter
BRITISH TELECOM, NTT SIGN COOPERATION AGREEMENT|British Telecommunications Plc <BTY.L> said it had signed a collaboration agreement with Nippon Telegraph and Telephone Corp on the exchange of personnel and information over a three-year period beginning April 7. The company said in a statement the plan is designed to promote increased business activities of both firms. In a separate statement British Telecommunications said that it had signed a two-year, eight mln Canadian dlr, distribution agreement with <Gandalf Technologies Inc> of Canada to distribute its Mezza VoiceStation system in Canada and the U.S. Reuter
GOLDSIL AND GOLDEN RULE AGREE TO MERGE|<Golden Rule Resources Ltd> and Goldsil Resources Ltd said they had agreed to merge. The merged company will issue to each Golden Rule shareholder 1-1/2 shares and one warrant. The warrant will be for a term of two years. Payment of 3.10 dlrs and delivery of two warrants will entitle the shareholder to one additional share of the merged company, the companies said. Each Goldsil shareholder will receive one share and one-half warrant. The warrant will be for a term of two years. Payment of 3.10 dlrs and delivery of two warrants will entitle the shareholder to one additional share of the merged company. Reuter
BANK OF JAPAN HAS NO COMMENT ON YEN BOND REPORT|A Bank of Japan spokesman declined to comment on a press report that the central bank had decided to conduct closer scrutiny of the operations of financial institutions in the bond market. The JIJI Press news agency had quoted Bank of Japan sources as telling Japanese reporters the bank was deeply concerned over potential risk in yen bond trading because the market had risen too fast. However, JIJI quoted the sources as saying, the central bank would not take such actions as guiding interest rates higher. JIJI quoted the sources as saying that current bond market yields are similar to short-term interest rates due to excessive speculative operations. This was attributable to heavy redemptions of government bonds and unclear prospects for the dollar, which has sent many foreign bond market participants to the domestic market, the sources were quoted as saying. REUTER
SAITAMA BANK ISSUES 100 MLN DLR CONVERTIBLE BOND|The Saitama Bank Ltd is issuing a 100 mln dlr convertible eurobond due March 31, 2002 paying an indicated two pct and priced at par, the bank's London office said. The issue is being lead managed by Saitama Bank (Europe) SA. The deal is available in denominations of 5,000 dlrs and will be listed in Luxembourg. Final terms will be set on April 15. The selling concession is 1-1/2 pct while management and underwriting each pay 1/2 pct. The payment date is May 6 and there will be a short first coupon period. REUTER
<FIRST MERCANTILE CURRENCY FUND INC> 1ST QTR NET|Shr profit 63 cts vs 22 cts Net 775,868 vs 276,446 Revs 2,255,742 vs 706,130 Reuter
OMAHA CATTLE UP 0.50 DLR - USDA|barrow and gilt prices rose 0.50 dlr in moderately active trade, the usda said. steers - choice 2-4 1100-1400 lbs 66.50-67.50, two loads 68.00-68.50. heifers - choice 2-4 975-1150 lbs 64.50-65.00, two loads 65.75-66.00. Reuter
VIEILLE MONTAGNE SAYS 1986 CONDITIONS UNFAVOURABLE|A sharp fall in the dollar price of zinc and the depreciation of the U.S. Currency created unfavourable economic conditions for Vieille Montagne SA <VMNB.BR> in 1986. It said in a statement that the two factors led to a squeeze on refining margins and an 18.24 pct fall in sales and services income despite an unchanged level of activity. Vieille Montagne, which is actively pursuing a restructuring program, reported a 198 mln franc net loss, after 187 mln francs in provisions for the closure of an electrolysis plant, compared with a 250 mln franc net profit in 1985. REUTER
<WILDERNESS EXPERIENCE INC> 4TH QTR LOSS|Period ended Jan 31 Shr loss three cts vs loss two cts Net loss 183,500 vs loss 163,800 Sales 608,800 vs 1,156,100 Year Shr loss 16 cts vs loss 21 cts Net loss 1,128,600 vs loss 1,081,600 Sales 3,811,200 vs 6,968,700 Reuter
HONDURAS SEEKING PL-480 VESSELS FOR BULK WHEAT|Honduras will tender April 13 under Public Law 480 for U.S. and non-U.S. flag vessels to deliver approximately 52,500 tonnes of various wheats in bulk, an agent for the country said. The agent said deliveries of northern spring/dns wheat will include laydays of July 1-10 for 7,500-9,500 tonnes, August 1-10 for 8,000-10,000 tonnes, and September 15-25 for 12,500-14,500 tonnes. Deliveries of hard red winter wheat will have laydays of June 20-30 for 5,000-7,000 tonnes, July 15-25 for 6,500-8,500 tonnes, and September 15-25 for 7,000-9,000 tonnes. Offers are due by 1200 hrs EDT, April 13, and will remain valid until the close of business April 14, the agent said. Reuter
CHEVRON <CHV> LAUNCHES PLATFORM OFF CALIFORNIA|Chevron Corp's Chevron U.S.A. Inc said it has begun the installation of an oil drilling platform, called Platform Gail, in the Sockeye field, located in federal waters in the Santa Barbara Channel offshore southern California. Chevron said a 25-mln dlr, eight leg platform jacket was launched from a barge Sunday and secured in position in 739 feet of water. Modules for crew quarters, drilling and production operations are to be completed later this year, the company said. The three-deck platform, 11 miles west of Port Hueneme, will be equipped with 36 drilling slots, Chevron said. Production from the first of 25 planned wells in the 100-pct Chevron-owned field is slated to begin in early 1988, the company said. The estimated total cost of the platform is 150 mln dlrs, Chevron said. Reuter
FRENCH GOVERNMENT WINS CONFIDENCE VOTE|The French government won, as expected, a vote of parliamentary confidence sought by Prime Minister Jacques Chirac on his general policies. Votes from Chirac's Gaullist RPR party and its junior partner in the ruling coalition, the centre-right UDF, gave Chirac's cabinet a slim majority in the National Assembly. A total of 294 deputies in the 577-member assembly voted to support Chirac, with 282 voting against. One member was absent. The Socialists, Communists and the extreme-right National Front voted against the prime minister's call. REUTER
ERICSSON <ERICY> GETS U S WEST <USW> ORDER|L.M. Ericsson Telephone Co said it has received a contract to provide U S West Inc with AXE digital central office switching equipment for use in Idaho, replacing 50 older electro-mechanical switches. Value was not disclosed. The company said U S West's Mountain Bell will place the first AXE in service before year-end and the project is to be completed by the end of 1991. The company said the replacement program follows an agreement between Mountain Bell and the Idaho Public Utilities Commission for conversion of a substantial part of the Idaho telephone network to digital from analog technology over the next five years. Reuter
ITT <ITT> TO BUY BACK COMMON, PREFERRED ISSUES|ITT Corp said its board authorized the repurchase of up to 10 mln shares of its common and preferred stock as market conditions warrant. The company said the repurchased shares will be held as treasury shares. An ITT spokesman said the board approved the proposed stock buy back as part of its program to enhance shareholder value and increase ITT's per-share earnings. He said ITT would fund the purchases with a portion of the 1.3 billion dlrs in cash it received from selling a majority interest in its telecommunications operations to <Compagnie Generale d'Electricite> of France. Reuter
EC SOURCES SAY UK WHEAT PLAN YET TO BE APPROVED|The European Commission has not taken a decision on applications from the British government for the release of 200,000 tonnes of intervention feed wheat onto the British market in May and June, Commission sources said. They said last week's cereals management committee agreed to release 70,000 tonnes of feed wheat through weekly tenders between April 14 and May 26. It also indicated it planned to allow the release of another 30,000 tonnes from April 23. However, it decided to leave consideration of the release of further wheat until later. The British government had applied for the release of a further 100,000 tonnes in both May and June from British intervention stores to prevent market prices rising. However, the sources said, the Commission wanted to review the market situation nearer the time before giving its approval. The Commission was given new powers last year to control the release of intervention cereals onto the market, the sources noted. Following last week's committee meeting, the U.K. Ministry of Agriculture said the Commission had given an assurance that additional quantities of intervention wheat would be made available in May and June. It also said that it was envisaged that monthly releases would be at least 100,000 tonnes, depending on the state of the market. This lead to the widespread assumption that the Commission had actually approved the release of 300,000 tonnes during the three months of April, May and June at last week's meeting. Reuter
CENTRAL BANCSHARES <CBSS> 1ST QTR NET|Shr 52 cts vs 45 cts Net 10.9 mln vs 9,498,000 Assets 3.60 billion vs 3.25 billion Deposits 2.45 billion vs 2.23 billion Loans 2.16 billion vs 1.67 billion NOTE: full name of company is Central Bancshares of the South Inc. Reuter
THAI ZINC EXPORTS FALL IN MARCH|Thai zinc ingot exports fell to 882 tonnes in March from 1,764 in February and 3,008 in March 1986, the Mineral Resources Department said. A spokesman for Padaeng Industry Co Ltd, the country's sole exporter, attributed the decline to the company's lower stocks, which averaged 5,000 tonnes in the first quarter against 16,000 tonnes in late 1985 when it began exporting. The department said major buyers included China, Japan, the Philippines, South Korea, Singapore and Taiwan. Thailand exported 4,842 tonnes of zinc ingots during the first quarter, down from 14,937 a year ago. REUTER
WESTMIN TO RAISE MYRA FALLS CAPACITY BY 33 PCT|Westmin Resources Ltd said it plans to increase capacity at its Myra Falls, British Columbia, base and precious metal mine and mill complex by 33 pct to 4,400 short tons of ore a day, subject to regulatory approvals. The company said the expansion will cost about 24 mln dlrs and could be in operation by 1988. Economies of scale from the expansion should pay back net expansion cost in less than one year, Westmin said. The Myra Falls complex processed 3,257 tons of ore a day during 1986. Myra Falls 1986 production was 44,000 ounces of gold, 966,266 ounces of silver, 45.5 mln lbs of copper, 96.2 mln lbs of zinc and 777,000 lbs of lead, a company spokesman said. Myra Falls 1986 production was 44,000 ounces of gold, 966,266 ounces of silver, 45.5 mln pounds of copper, 96.2 mln pounds of zinc and 777,000 pounds of lead, a company spokesman said. Reuter
WEIS MARKETS <WMK> IN THREE FOR TWO STOCK SPLIT|Weis Markets Inc said its board declared a three-for-two stock split for holders of record May 1, 1987, with a distribution date of May 22, 1987. The company also said a regular quarterly dividend of 16 cts per share on the pre-split shares will be paid May 22 to shareholders of record May 1. Reuter
NY COTTON EXTENDS GAINS LATE, SETTLES HIGHER|Cotton futures extended their gains in late dealings when trade selling dissipated, allowing local and speculative buying to increase, brokers said. The market settled 0.75 to 0.50 cent stronger, with spot May ended 0.70 better at 56.50 cents a lb. May got as high as 56.75 cents but profit-taking by early buyers trimmed gains, brokers said. Early demand came from traders convinced that the market was technically oversold, brokers said. Trade buying bolstered new-crop contracts, brokers said. December settled 0.72 cent firmer at 55.47 cents. Reuter
KANSAS CITY GULF EXPORT PRICES - USDA|Gulf export prices for grain delivered to Gulf export elevators, barge to Louisiana Gulf, rail to Texas Gulf, prompt or 30 day shipment, dollar per bushel, except sorghum per cwt. WINTER WHEAT 1 HARD RED-Ordinary 308-3/4 dn 1-1/4 2 SOFT RED 313-3/4 dn 2-1/2 2 YEL CORN 180-1/2 up 1-1/4-dn 3/4 2 YEL SORGHUM 321-327 dn 2-up 4 2 YEL SOYBEANS 526-3/4-527-3/4 up 1-up 2 reuter
AIDC ISSUES AUSTRALIAN DOLLAR ZERO COUPON EUROBOND|Australian Industry Development Corp is issuing a zero coupon eurobond with total redemption amount 30 mln Australian dlrs, lead manager Orion Royal Bank Ltd said. The issue matures on May 12, 1992 and is priced at 53-1/2 pct. It is available in denominations of 1,000 and 10,000 Australian dlrs and will be listed in Luxembourg. Payment date is May 12. Credit Suisse First Boston Ltd, Commerzbank AG, Hambros Bank Ltd and Merrill Lynch Capital Markets are co-lead managers. There will be no co-managers. Fees total 1-3/8 pct. REUTER
SEOUL STOCK MARKET CONSOLIDATES ON STATE MEASURES|The South Korean stock market seems to be consolidating following government measures to cool its rapid rise this year, domestic and foreign analysts said. The composite index hit a record 405.13 early last week, nearly 50 pct up from the New Year when it stood at 264.82, but plunged to a 383.48 close on April 3, the day after the government intervened. Under the measures, industrial firms with bank loans worth 50 billion won or more must either offer new shares or issue convertible bonds to repay the loans. Securities houses will have to sell shares they are holding if the volume exceeds 40 pct of their paid-in capital. The ceiling for investment trust firms was fixed at 50 pct. South Korean firms have traditionally preferred obtaining low interest bank loans -- the current rate is 10 pct -- to issuing bonds at a higher rate or floating share issues with the attendant dividend pressures and launch expenses. The Seoul Stock Exchange, with 355 listed stocks, grew explosively in the first three months of the year, building on an already impressive 68.9 pct gain in 1986. Analysts now expect the market to pause temporarily and then resume its upward movement, despite the indirect government regulation. They said the continuous growth of the nation's gross national product (GNP) and trade surplus, improved exports and good performances by industrial firms all fuelled the boom. The trade surplus widened to 460 mln dlrs in March from 110 mln in February, while government economists expect GNP to grow nine pct this year. Analysts said the deep slump in the real estate market also increased liquidity in the stock market. "Many investors are still confident the market will not lose its strength. It seems likely to pause for a while and then rebound again," said Park Sin-bom, a director of Lucky Securities Co. "There are more positive factors than negative. The market is still buoyed by ample liquidity thanks to the economy's strong performance." The stock market began to recover during Saturday's half-day session with the index closing at 397.24 in active trading on Monday, but closed lower on Tuesday at 390.24 on turnover of 76 billion won. "I would say the market is flat for the time being.... It is very prone to profit-taking after the sharp gains in the first three months and the various government measures," a foreign analyst said. "But the market will head up again after a rest because the fundamentals are expected to rise and investors will be as bullish as ever at the slightest sign of a market recovery." He added that the newly launched 30 mln dlr Korea Europe Fund would have an impact on the South Korean stock market, despite its small volume compared with the 5.72 trillion won of listed capital on the Seoul exchange. Local dealers recommend blue chips and financial shares as these stand to benefit most from continuing trade friction between the United States and Japan and the rumoured restructuring of local finance houses. Dealers also cite the shares of domestically oriented firms, which are less vulnerable to the effects of the gradual appreciation of the won. REUTER
CALIFORNIA BIOTECH <CBIO> SEES 1ST QTR LOSS|California Biotechnology Inc said it expects to report a loss of 1,300,000 dlrs to 1,600,000 dlrs for the first quarter due to increased investment in research and manufacturing and a scaleup of production. The company said research spending is running 50 to 60 pct above a year ago as it tries to commercialize its products as quickly as possible, and increased expenditures are expected to continue for several more quarters. It said operating results will fluctuate quarter to quarter, depending on the timing of significant payments from commercial partners. In the first three months of 1986, the company lost 150,000 dlrs. The company changed its fiscal year in 1986 to a calendar year from a year ending November 30. For the first quarter of last year, ended February 28, California Biotech earned 114,000 dlrs. Reuter
U.S. ALUMINUM STOCKS HIGHER IN DECEMBER - ABMS|Total U.S. aluminum stocks held by integrated and non-integrated producers and smelters including scrap, ingot, metal in process and finished products rose to 2,470,000 short tons in December from 2,451,000 short tons in November, American Bureau Metal Statistics said. Primary production rose to 278,000 tons in December from 263,000 tons in November. Imports for consumption declined to 114,000 tons in December from 150,000 tons in November. Net shipments eased to 605,000 tons in December from 608,000 tons in November. Ingot shipments were 87,000 tons versus 99,000 tons, mill products shipments were 435,000 tons versus 420,000 tons and casting shipments were 83,000 versus 89,000. Reuter
LME COPPER CLOSES AFTER RETREAT FROM EARLIER HIGHS|LME afternoon ring dealings in copper ended with three months Grade A business at 879 stg per tonne, a rise of three from yesterday's afternoon kerb close, equivalent to 1,410 dlrs per tonne, up four. However, values were off the day's highs, reflecting the softer tone on Comex, while the cash to three months premium narrowed to 32 stg in the absence of followthrough to earlier nearby buying, traders said. The breakdown of the spread premium equated to 20, seven and five stg for the first, second and third months, respectively. Standard metal finished with an indicated backwardation of around two stg. Morning ring dealings ended with forward business at a high of 883 stg per tonne, equivalent to 1,417 dlrs. Business featured a wave of cash pricing purchases near the official close which established an indicated spread backwardation of 37 stg after earlier borrowing at a premium of 32, unchanged from yesterday afternoon, traders said. Forward values extended pre-market gains, despite currency factors, with short covering and some chart support evident. Ring dealings also included options-linked borrowing interest from end April dates for one month at a backwardation of 23 stg. Analysts said the 870 stg area appears to have provided a minor chart support base, although upside potential remains limited against a background of only routine physical demand and a buoyant U.K. Currency. On the morning pre-market, activity was mainly dollar-based and within the range 1,408 to 1,411 dlrs per tonne, traders said. Standard grade retained a spread backwardation of 10 stg but was tradeless. REUTER
SOUTHERN UNION <SUG> TO SELL NOTES, DEBENTURES|Southern Union Co said it filed with the Securities and Exchange Commission a registration statement covering a 50 mln dlr offering of 10-year notes and a same-sized issue of 30-year debentures. Proceeds will be used to redeem three outstanding debenture issues and repay two outstanding note issues. The company named Goldman, Sachs and Co as sole manager of the note and debenture offerings. Reuter
CXR TELCOM CORP <CXRL> 3RD QTR MARCH 31 NET|Shr nil vs nil Net 215,000 vs 16,000 Revs 2,800,000 vs 1,100,000 Nine mths Shr one ct vs nil Net 620,000 vs 231,000 Revs 8,100,000 vs 2,100,000 Reuter
SOUTH AFRICA MINES BODY SEES MAY DAY WORK STOPPAGE|Negotiations between mining companies and the National Union of Mineworkers are foundering and mines could face a May Day work stoppage, the Chamber of Mines said. It said the union had called off talks on a specific issue, the introduction of a Labour Day on May 1. The union refused a request to give advance notification of the names of workers who would be working on May 1 rather than taking the option of a paid holiday, the Chamber said. It said mining companies wanted advance notice in order to plan their operations. "The union is adamant only employees who wish to work on Labour Day should notify management," the Chamber said. "This raises the prospect that the mines will once again face stay-away action on May 1 and that the employees who do not work will once again forfeit pay." It said the union accepted all the proposals except giving advance notification for May 1. It said miners had been offered a full paid holiday on May 1 or a premium of six pct of their basic monthly pay for working that day. REUTER
WILDERNESS EXPERIENCE MAY FILE FOR BANKRUPTCY|<Wilderness Experience Inc> said it may be forced to file for bankruptcy court protection, or seek a liquidation of the company, if it is unsuccessful in obtaining the financing necessary to meet its bank debt commitments. The company said it has been unable to renew a short-term borrowing arrangement with its bank or to make scheduled debt payments. It also said the bank has said it will foreclose their security interest in the company if it does not present an acceptable payment program within the next several weeks. Reuter
COMMODITIES TODAY IN WASHINGTON FOR APRIL 8|House Agriculture Livestock, Dairy and Poultry Subcommittee reviews Agriculture Department's meat inspection program. (1000) -- Agriculture Department releases weekly world production and trade report. (1500) -- Agriculture Department releases survey on agricultural resources. (1500) Reuter
TOWN AND COUNTRY JEWELRY MANUFACTURING <TCJC>|4thh qtr Feb 28 Shr 46 cts vs 22 cts Net 2,139,034 vs 854,182 Sales 30.8 mln vs 20.6 mln Avg shrs 5,280,854 vs 4,559,646 Year Shr 1.34 dlrs vs 1.15 dlrs Net 5,935,117 vs 4,156,171 Sales 107.2 mln vs 71.6 mln Avg shrs 5,281,387 vs 3,616,183 NOTE: Town and Country Jewelry Manufacturing Corp. Reuter
VIEILLE MONTAGNE REPORTS LOSS, DIVIDEND NIL|1986 Year Net loss after exceptional charges 198 mln francs vs profit 250 mln Exceptional provisions for closure of Viviez electrolysis Plant 187 mln francs vs exceptional gain 22 mln Sales and services 16.51 billion francs vs 20.20 billion Proposed net dividend on ordinary shares nil vs 110 francs Company's full name is Vieille Montagne SA <VMNB.BR>. REUTER
COOPERATIVE ENERGY TESTS OIL AT TWO WELLS|<Cooperative Energy Development Corp> said two exploratory oil wells in the Zama area of Alberta tested 1,020 and 950 barrels a day, and will increase the company's daily oil production by 30 pct. The company did not immediately elaborate on total production figures. The wells, flowing oil from the Keg River formation, will be constrained to combined production of about 450 barrels a day to optimize reserve recovery, the company said. Permanent production facilities are being installed and the wells will produce to pipeline by mid-April. Reuter
HONG KONG TERM MONEY 1000 - APR 8|3 3/4 one month 4 13/16 - 4 11/16 two months 5 1/16 - 4 15/16 three months 5 1/8 - 5 six months 5 7/16 - 5 5/16 12 months 6 - 5 3/4
