SIOUX FALLS HOGS OPEN UP 1.50 DLR - PRIVATE|Hog prices opened 1.50 dlr higher, private sources said. Top 52.00 dlrs per cwt. Reuter
NYFE SEAT SELLS FOR 1,500 DLRS|The New York Stock Exchange said a seat on the New York Futures Exchange sold for 1,500 dlrs, which is up 250 dlrs from the previous sale yesterday. The Exchange said the current bid is 1,250 and the current offer is 1,500 dlrs. Reuter
ADMINISTRATION SUPPORTS RESEARCH TAX CREDIT IDEA|Assistant Treasury Secretary Roger Mentz said the administration supported continuing a tax credit for business research expenses after the current 20 pct credit expires at the end of next year. Mentz, in testimony before the Senate Finance subcommittee on taxation, said the administration was not ready yet to make a recommendation to Congress on the appropriate structure, rate or duration of the credit. The subcommittee is considering a plan to make the credit permanent and raise it to 25 pct. Reuter
OMAHA CATTLE SEEN STEADY/UP 0.50 DLR - PRIVATE|Cattle prices are expected to range from steady to 0.50 dlr higher on estimated receipts of 2,700 head, private sources said. Steer top seen at 68.00 and Heifers at 66.50 dlrs. Sources said death losses that were reported in part of the high plains areas were causing concern in the industry. Reuter
ST PAUL CATTLE OPEN UP 1.00-1.50 DLR - PRIVATE|Cattle prices opened 1.00 to 1.50 dlr higher, private sources said. Steer top 66.00 and Heifers 65.00 dlrs. Reuter
LOWER U.S. RICE STOCKS, STRONG EXPORTS - USDA|Rising demand for U.S. rice may gradually reduce surpluses while a marketing loan should help increase the U.S. share of the world rice market despite sluggish trade this year, the U.S. Agriculture Department said. In its quarterly rice outlook and situation summary, the department said U.S. rice use may surpass production during the 1986/87 marketing year, causing stocks to fall about 10 mln hundredweight from a year earlier to an estimated 67 mln cwt on July 31. Long grain acreage as a percentage of total acreage is expected to decline this year, the report said. USDA said factors once supportive of increased long grain acreage have turned around. Domestic prices of medium grain relative to long grain have increased, the loan differential has been greatly reduced and increases in long grain yields relative to those of other classes have leveled off. With the drop in domestic prices resulting from the marketing loan, domestic rice use is expected to grow at a faster rate, USDA said. "Development of new products and increased promotion have helped make rice more available and visible to a wider range of consumers," USDA said. USDA said world trade is expected to fall in 1987 because of large production and stocks but a weaker market should affect competing exporters more than the U.S. "The United States has already recovered a substantial share of the European Community market and made inroads into markets in the Middle East and Africa," the report said. World rice consumption is projected to reach record levels in 1986/87, the report said, as higher per capita incomes, increased domestic production and low import prices have allowed people in many countries to substitute rice for coarse grains. China, India and South Korea have increased output, while the Middle East and Africa have doubled imports since the mid-1970s, the report said. Reuter
LUMBER FUTURES TUMBLE SHARPLY EARLY|Lumber futures fell for losses of as much as 3.50 dlrs per tbf, basis May, after starting 0.80 lower to 0.10 higher. Lack of carryover demand and pressure associated with the lower trend to financial futures early touched off some stop loss orders. Futures fell to near technical support before recovering slightly, traders said. Some pressure also stemmed from a quiet cash market and erroding cash prices, they said. Commission houses and locals sold on the break and offset scale-down buying by GNP, they added. Reuter
SWISS CONSUMER PRICES RISE ONE PCT IN MARCH|Swiss consumer prices rose one pct in the year to March, the same rise as in the year to February, and against 0.9 pct in the year to March 1986, the Federal Statistics Office said. In March alone, prices rose 0.1 pct after a 0.3 pct rise in February. The March index, base 1982, was 109.7 against 109.5 in February. The Statistics Office said the March increase reflected rises in certain sectors such as food, clothing and household goods and falls in transport, heating and lighting. Both home produced and imported goods rose by 0.1 pct during the month. But over the year as a whole, domestically generated inflation reached 2.5 pct, offset by a 2.8 pct drop in imports. REUTER
LME METAL PM 1ST RING VOLUMES/PAIDS - APR 7|3250 tonnes mainly carries cash nil 3months 880.00 79.00 STANDARD - Nil LEAD - 350 tonnes mainly carries cash nil 3months 302.00 ZINC HIGH GRADE - 1750 tonnes mainly carries cash nil 3months 456.00 57.00 58.00 56.00 SILVER LARGE and SMALL - Nil ALUMINIUM - 3200 tonnes mainly carries cash nil 3months 806.50 06.00 NICKEL - 216 tonnes mainly carries cash nil 3months 2355 REUTER
BAKER REPEATS HE HOPES PRIME HIKE TEMPORARY|Treasury Secretary James Baker reiterated his hope that this week's rise in prime rates would be a temporary blip upwards. "I would hope that it would simply be a temporary blip upward as we've seen in the past," Baker said in television interview with the Cable News Network. The interview airs tomorrow but CNN released extracts from his remarks today. Baker also repeated his position that the reaction of financial markets to U.S. tariffs on Japanese electronic goods showed "the importance of the United States not going protectionist. The markets were telling us...be careful." reuter
RECEIVER NAMED FOR SEAWAY'S LEVY-RUSSELL UNIT|Seaway Multi-Corp Ltd said Peat Marwick Ltd was appointed receiver-manager of its operating subsidiary, Levy-Russell Ltd, after it was unable to meet the Canadian Imperial Bank of Commerce's demand for repayment of loans totaling about 20 mln dlrs. It said the receiver is seeking offers for the sale of Levy-Russell as a going concern. Reuter
TESCO EXTENDS HILLARDS OFFER|Tesco Plc <TSCO.L> said it was extending its 151 mln stg contested bid for <Hillards Plc> until May 1. It said it now controlled 9.8 pct of Hillards shares, comprising acceptances of the offer for 1.5 mln, or 3.1 pct, and 3.2 mln, or 6.7 pct, owned by itself, its pension fund or its associates. It also controlled 23,250 convertible preference shares, or 0.2 pct. Hillards shares were unchanged at 313p while Tesco was two pence firmer at 475p. REUTER
BRAZIL MAKES SECOND AMAZON OIL DISCOVERY|The Brazilian state oil company Petrobras has made a second oil discovery in the Amazon region, President Jose Sarney said. He said the well had an initial flow of 150,000 cubic meters of gas and 220 barrels of oil per day. It is situated 14 kilometres from the first well to be discovered in the region last year, which is currently yielding 500,000 cubic meters of gas and 900 barrels of oil daily. The wells, the biggest onshore well in the country, are on the banks of the river Uruc in the Amazon basin 3,600 kilometres (2,250 miles) north of Brasilia. Reuter
ATLANTIC RAISES HEAVY FUELS PRICES|Atlantic Fuels Marketing Corp said today it raised the posted cargo prices for number six high sulphur fuels in the New York Habor 50 cts a barrel, effective today. The increase brings prices for two pct sulphur fuel to 19.75 dlrs, 2.2 pct sulphur to 19.25 dlrs, 2.5 pct sulphur to 19.00 dlrs and 2.8 pct sulphur to 18.85 dlrs, it said. Posted prices for 0.3 pct sulphur and one pct sulphur were unchanged at 22.00 and 20.00 dlrs, the company said. Reuter
PAN AM <PN> MARCH LOAD FACTOR ROSE TO 60.6 PCT|Pan Am Corp's Pan American World Airways said its load factor rose to 60.6 pct last month from 54.9 pct in March 1986. The airline said its scheduled March traffic increased 14.6 pct to 1.94 billion revenue passenger miles from 1.70 billion last year as available seat miles rose 3.8 pct to 3.21 billion from 3.09 billion. It said the March traffic increase was the third consecutive month of year over year traffic growth for Pan Am. For the first quarter, Pan Am said, its load factor increased to 56.3 pct from 53.4 pct as scheduled traffic increased 10.2 pct to 5.25 billion miles and available seat miles increased 4.5 pct to 9.32 billion. The airlines said its March scheduled freight ton miles increased 1.5 pct to 53.3 mln from 52.5 mln and was up 0.4 pct for the first quarter to 134.6 mln. Reuter
RUBBER PRICES FIRM AT COLOMBO AUCTION|Rubber prices of all types firmed on good demand for the 234 mln kilos offered at the Colombo auction, brokers said. Among latex crepe, the best crepe one-X sold at an average 20.10 rupees per kilo, up five cents from previous levels. Crepe two traded at 19.60 against 19.50 last week and other grades also showed gains. Trade sources reported increased demand and more speculative buying compared to earlier weeks. Among sheet offerings, RSS1 gained 20 cents from last week to trade at 19.00 rupees a kilo. Other sheet rubbers were also firm on speculative buying. Brokers noted bidding remained steady throughout the sale, particularly for the best crepes and RSS1 types. REUTER
PARIS SUGAR OPEN POSITION - APR 7|May 6765 Aug 13126 Oct 4462 Dec 167 Mar 583 May 170 Total 25273
VOLCKER SEES DOLLAR AS FACTOR IN MONETARY POLICY|Federal Reserve Board Chairman Paul Volcker said the performance of the dollar in exchange markets could be a factor in the U.S. central bank's decisions on monetary policy. "The performance of the dollar in the exchange market might become a factor bearing on our provision of reserves," Volcker said in testimony to the Senate Banking Committee. He said that fiscal policy changes in the United States, Germany and Japan would be more important that intervention to instill confidence in current exchange rate levels. Reuter
CCC ACCEPTS EXPORT BONUS FOR WHEAT TO SRI LANKA|The U.S. Agriculture Department said it has accepted a bid for an export bonus to cover the sale of 50,000 tonnes of hard red winter wheat to Sri Lanka. A bonus of 37.44 dlrs per tonne was awarded to Continental Grain Co on the shipment scheduled for April 8-16, Melvin Sims, USDA general sales manager said. An additional 10,000 tonnes of wheat are still available to Sri Lanka under the export enhancement program, Sims said. Reuter
EXIMBANK LOAN CEILING SET|President Reagan set the Export-Import Bank's direct loan ceiling in fiscal year 1987 at 800 mln dlrs, a decrease of 100 mln dlrs. In a letter to Congress, Reagan also said he was not seeking any additional legislation to rescind any authority of the bank, which aids U.S. exports. Reagan said he had concluded that the statutory 1987 limit for Eximbank loan guarantee commitments should not be changed, noting that "continued growth in the U.S. economy and global recovery could create unexpected demand for guarantees and insurance." Reuter
SHARE PRICES NEAR DAY'S LOWS AT LONDON MIDSESSION|Equities steadied near the day's lows at midsession after a hesistant start mainly due to lack of interest in quiet trading conditions. Dealers said most of the trading appeared to be inter-professional, highlighting the market's cautious approach in the wake of yesterday's strong performance. The latest opinion polls strengthened the market's conviction that the Conservatives will win the next general election, but the uncertainty over the date continues to provide an unsettling factor. At 1141 GMT the FTSE 100 index was 10.6 down at 1.979.0. In a poll conducted for television programme TV-AM showed the Conservative Party 13 points ahead of the Oppsition Labour Party. An opinion poll published in the Times newspaper today, which measured party support in 73 key marginal seats, gave the Conservative party a lead of six points over Labour. Concern over the possibility of a trade war with Japan, although less pronounced, provides a further note of caution, dealers said. Yesterday the Japanese finance ministry said it will help expand the Tokyo Stock Exchange membership to facilitate foreign membership. The lack of enthusiasm for shares this morning despite gains to record territory on both the New York and Tokyo stock exchanges further underlined market nervousness. ICI fell a penny at 1,334, Glaxo 8p at 1,480, Beecham 12p at 521, BPB 10p to 660 and P and O 3p to 617. Wellcome shed 23p to 397 on profittaking after adverse press comment on the side effects of its "Retrovir" aids drug, dealers said. London International, makers of condoms, gained 14p at 302 in contrast. Among few other gains Jaguar rose 12p to 587 mainly on U.S demand, dealers said, Unilever added 8p at 2,578, Plessey 2p to 243, as did Reuter at 701p. In lower oils BP shed 13p at 907p after news yesterday Standard Oil considered inadequate BP's 70 dlrs per share tender offer for the 45 pct of Standard that it does not already own. Shell lost 10p at 1,223. Banks mostly showed modest declines. Barclays eased a penny to 503 as did Natwest at 588. Standard Chartered lost 4p to 821 after recent gains on bid speculation. Press reports said Australian businessman Robert Holmes A'Court increased his stake in the company yesterday. Dealers said Lloyds bank is widely expected to renew its offer for Standard once its one year bid limit ends in July. Lloyds was one penny higher at 488. Extel further declined today, losing 28p to 462 in the wake of news yesterday British Printing and Communications Corp and its associates said they would not be making a bid for the company. In mixed insurances Sun Life gained 7p at 1,085, Prudential Corp rose a penny at 833 while Royal declined 4p to 945 as did Sun Alliance at 828. The market now awaits Wall Street's opening, which is expected mixed to higher, for further direction. At 1151 GMT the FTSE 100 share index was eight points down at 1,981.0, lifted by some selected bargain-hunting after touching 1978.7 earlier. REUTER
N.Z. DOLLAR ENDS LOWER AFTER VOLATILE SESSION|Profit-taking, domestic corporate demand and limited Asian buying pushed the New Zealand dollar back to just below 0.5700 U.S. Dlrs in late trading after it had fallen more than one cent in the morning session, dealers said. It finished at 0.5693/00 U.S. Dlrs against a morning's quoted low of 0.5600/10, a 0.5720/30 start and a 0.5718/25 end yesterday. Dealers said speculation that the Government's year-end March budget deficit will be lower than expected and will bring lower interest rates caused selling in nervous early trading. Most dealers said deficit figures for the 11 months to end February, released during the session, were ignored by many traders who believe the figures lacked meaning while the size of the March tax-flow to Government is unknown. Dealers said trading will remain uncertain in the short-term. "We hav+/Jkgressive rebound in thin trading and now the market doesn't ?(e~hoing," one dealer said. REUTER
BOUYGUES <BOUY.PA> TV AWARD SEEN BOOSTING GROUP|A consortium headed by the construction group Bouygues SA has been awarded a 50-pct controlling stake in French state television network TF1, which stock market analysts said represented a major boost for Bouygues. The Bouygues-led consortium was widely regarded as the less likely of the two candidates in contention to be awarded the three billion franc stake by the National Commission for Communications and Liberties (NCCL), the French television watchdog authority. The losing candidate was a consortium headed by publishing group Hachette SA <HACP.PA>. The NCCL decision awarded the Bouygues consortium a 50-pct controlling stake in a company which will have a 10-year operating concession for TF1, France's oldest and most widely watched television network. Independent market analysis group C.O.P.S. In a note on Bouygues said the award would represent a major diversification for the group out of the highly cyclical construction industry into the rapidly expanding media business. Bouygues in February said it estimated 1986 group net attributable profit at 480 mln francs, up from 443 mln for 1985, on consolidated turnover of 45.8 billion francs, up from 26.3 billion. The sharp rise in turnover reflected the groups acquisition of the loss-making SCREG construction group last year. Bouygues closed on the Paris stock market at 1,451 francs on Friday, up from 1,405 the previous day, but well below its year's high of 1,475. Hachette closed at 3,280, up from a previous 3,250. Bouygues holds a 50-pct stake in the winning consortium, giving it a 25-pct stake in TF1. The U.K.-based <Pergamon Media Trust> of Robert Maxwell has a 20-pct stake in the consortium, representing a 10 pct stake in TF1, while <Maxwell Media France> has a six pct stake, or three pct of the television network. Minority shareholders in the consortium include the <GMF/FNAC> group, Societe Generale <SGEN.PA>, <Editions Mondiale>, the <Groupe Bernard Tapie>, <Financiere Faltas>, <Banque Indosuez> and Credit Lyonnais <CRLP.PA>. The remaining 50 pct of TF1 is to be split between a 40-pct stake to be offered to the general public and a 10-pct stake to be offered to employees. REUTER
SUMMER/WINTER TIME CHANGES|ISRAEL INTRODUCES SUMMER TIME. APRIL 26 - CANADA INTRODUCES SUMMER TIME. Reuter
TWO SEATS SELL ON THE NYFE|The New York Stock Exchanage said two seats were sold on the New York Futures Exchange. The Exchange said the first seat sold for 1,500 dlrs, which is unchanged from the previous sale, made earlier today. The Exchange said a second seat then sold for 1,250 dlrs, off 250 dlrs. It said the current bid is 300 dlrs and the current offer is 1,500 dlrs. Reuter
MICHIGAN GENERAL <MGL> GETS OFFER COMMITMENTS|Michigan General Corp said holders of 75 pct of its outstanding 10-3/4 pct senior subordinated debentures due December 1, 1998, have indicated their intention to tender under the company's current exchange offer and to reach an agreement with the company. It said it hopes to conclude negotiations with the debenture holders and its lenders and to conclude the exchange offer as soon as possible. Michigan General in March had said that the exchange offer would be conditioned on 90 pct acceptance and on its lender waiving or providing relief from loan agreement defaults. Michigan General had also said that the offer would be conditioned on ratification of amendments to the indenture governing the 10.75 pct debentures by holders of two thirds of the issue. It had said that if the offer and talks with its lender did not succeed, it would probably have to file for bankruptcy law protection. Michigan General is offering to exchange 500 dlrs of increasing rate senior subordinated notes due March 1, 1992, 200 dlrs of non-interest bearing delayed convertible senior subordinated notes due March 1, 1997 and 2 shares of two dlr delayed convertible preferred stock with a liquidation value of 25 dlrs a share for each 1,000 dlrs of the debentures. Reuter
Beirut exchs opg - april 7 uk transfer 18350.00 - 18500.00 us|41350.00 saudi arabia 3013.00 - 3023.00 france 1865.00 - 1885.00
SUMITA SEES REAGAN BONDS FEASIBLE, SAYS NEWSPAPER|Bank of Japan Governor Satoshi Sumita said he would support the issuance of Reagan bonds, yen-denominated U.S. Government securities, if it was considered appropriate, a Japanese daily paper reported. The Sankei Shimbun quoted Sumita as saying in an interview "It (Reagan bond) is a very feasible idea," speaking in the context of the effectiveness of such bonds in halting the dollar's decline. Asked how he would respond to the idea if it were brought up at any Group of Five meeting in Washington later this week, the paper quoted him as saying "I will back it up." But Sumita said the market still has confidence in the dollar, and one must be careful in associating the current dollar decline with anything like a free fall, the paper said. In 1978, the administration of then president Jimmy Carter floated government securities worth four billion dlrs in marks and Swiss francs to try to halt the the dollar's depreciation. A Bank of Japan spokesman confirmed that the newspaper report was basically correct. But a senior central bank official told Reuters that as far as he knew, the idea was not being seriously considered now, either in the U.S. Or in Japan. REUTER
SOUTH KOREA'S 1987 GNP SEEN GROWING NINE PCT|South Korea's gross national product (gnp) is forecast to grow by nine pct in 1987, surpassing the government's original forecast of eight pct and against a 12.5 pct rise in 1986, an Economic Planning Board report said. The report reviewing the country's economy in the first three months of this year said year-on-year gnp was provisionally estimated to have grown by about 12 pct in the period, against a 10.5 pct growth in the same 1986 period. Board officials said the gnp rise in the January-March period is due largely to increased exports, which totalled 9.34 billion dlrs against 6.9 billion a year earlier. REUTER
MID-STATE <MSSL>, FIRST FEDERAL IN DEAL|Mid-State Federal Savings and Loan Association said it and First Federal Savings and Loan Association of Brooksville <FFBV> reached a definitive merger agreement. As previously announced, Brooksville shareholders will get cash and stock in exchange for their shares. The transaction is expected to be completed during the summer 1987. Reuter
ARDEN GROUP <ARDN> AMENDS CERTIFICATE|Arden Group Inc said stockholders approved the redesignation of its common stock as Class A and the issuance of a new class B common stock. The class B has super-voting rights, it said. Reuter
JAPAN CENTRAL BANK INTERVENES IN TOKYO AFTERNOON|The Bank of Japan intervened in early afternoon Tokyo trading to support the dollar against active selling by institutional investors and speculative selling by overseas operators, dealers said. The central bank had also bought dollars against the yen in morning trade. The dollar traded around 145.20/30 yen when trading began in the afternoon here and weakened only slightly, the dealers said. REUTER
LONDON OILS/SEEDS STEADY TO FIRMER AT MIDDAY|Oils and oilseeds showed steady to firmer price movements at midday in moderately active trading. Processed palm oil traded five to 7.50 dlrs per tonne higher but buyers became more reserved near the end of the morning on indications that Pakistan may have passed at its import tender today. Coconut and palm kernel oils met increased dealer buying at a 2.50 to five dlr per tonne advance while light business to surface from the liquid edible oil market was at unchanged to marginally higher price levels. Small gains in closing Chicago soyoil futures were supportive, traders said. June shipments of Malaysian rbd palm olein traded at 335 dlrs and July at 332.50, while rbd oil sold at 318 for Apr/May and rbd stearine at 277.50 dlrs per tonne fob, for May shipments. Jun/Jul shipments of Philippine/Indonesian coconut oil sold at 415 dlrs per long ton cif and Malaysian/Indonesian palm kernel oil at 390 to 400 dlrs per tonne cif for the same position. Firm fob prices in the Argentine market supported sunflowerseed oil values here and Aug/Oct call traded at 357.50 dlrs per tonne, ex-tank Rotterdam. REUTER
DOE ISSUES OFFER TO BUY ALASKA POWER UNIT|The U.S. Energy Department issued a request for proposals to buy the Snettisham Hydroelectric project, a major part of the Alaska Power Administration. It said invitations were sent to two Alaskan electric utilities, the city and borough of Anchorage and the state of Alaska. It did not cite a possible purchase prices. The requests were limited to Alaskan entities because the purpose of privatization of the administration was to put the local utility into the hands of a local body, the DOE said. It added that proposals are due back by August three. The DOE said it then had 120 days to select a proposal that it would recommend to Congress, which then would vote the recommendation up or down. Proposals to buy the other major part of the Alaska Power Administration, the Eklutna project, was expected to be issued in early June, it said. reuter
JAPAN CONSIDERING BUYING U.S. SUPERCOMPUTER|Japan's Ministry of International Trade and Industry (MITI) is considering buying a U.S.-built supercomputer worth three to four billion yen, but a final decision and funding have yet to be determined, MITI said. The Cray II computer, made by Cray Research Inc <CYR>, would be used jointly by nine MITI research institutes in Tsukuba, northeast of Tokyo, a MITI official told Reuters. Its purchase would be in line with MITI's goal of boosting imports, he said. Funds for the supercomputer are not included in the fiscal 1987 budget currently stalled in parliament. Funds could be provided in a supplementary budget likely to be introduced this autumn, the official said. The U.S. Has strongly urged Japan to open its public sector to sales of U.S. Supercomputers, and the complaint is a key issue in current U.S.-Japan trade friction. One year before it was privatised in April 1985, <Nippon Telegraph and Telephone Corp> (NTT) bought a Cray supercomputer, an NTT official said, the only public sector purchase of a U.S. Supercomputer to date. REUTER
CBT CORN FUTURES TRADE QUIETLY MIXED EARLY|CBT corn futures traded firmer early, holding gains of 1-1/4 cents to 3/4 cent per bushel in moderately light early trade. Yesterday's sharp jump in the weekly corn export figure to about three times last year's weekly inspections, plus the outlook for a continued active export pace due to the decline in the U.S. dollar this year, supported nearbys, traders said. Cargill, the Illinois Co-op, Refco and ADM were the featured buyers of old crop May, with CIS a buyer in new crop December, pit brokers said. Reuter
PRICES SLIGHTLY LOWER AT NAIROBI COFFEE AUCTION|Prices for the better quality "AB" grades were steady but those for all others were lower at the weekly Nairobi coffee auction, the Mild Coffee Trade Association (MCTA) said. Sources at the major coffee broking firms said prices were generally irregular and were 30 to 50 shillings (1.9 to 3 dollars) lower per 50 kg, on the previous week's levels. The demand was good and all quality coffees were sold, they added. The MCTA said the Coffee Board of Kenya (CBK) offered 35,000 bags as it did last week, and sold 95 pct. Prices per 50 kg were as follows, last week's in brackets: T 1405 1755(1430 1695) E 2200 2295(2190 2295) TT 2000 2129(1900 2303) PB 2280 2333(2202 2349) C 1750 2239(1720 2282) AA 2200 2650(2250 2600) AB 2000 2350(2100 2419) MSC 700 2199 (850 2190) Reuter
CALIFORNIA MICRO DEVICES <CAMD> IN DEFENSE DEAL|California Micro Devices Corp said an additional 3.2 mln dlrs contract was received from General Dynamics Corp <GD> to supply electronic components contained in the guidance control for Defense Electronics Systems. This contract follows a 750,000 dlrs contract awarded last year. Shipments will begin in APril 1987. The company also disclosed that Fuji Photo Film Co Ltd is the licensee of a one mln dlrs technology agreement announced last fall. Reuter
INTERNATIONAL TELECHARGE IN PUBLIC OFFERING|INternational Telecharge INc said it filed a registration statement with the Securities and Exchange Commission for a public offering of one mln shares of common stock. Proceeds will be used for general purposes. Reuter
ST LOUIS HOGS OPEN UP 1.00 DLR - PRIVATE|Hog prices added 1.00 dlr at the opening, private sources said. Top 51.00 dlrs per cwt. Reuter
